,Disease,Year of Publication,Medication,Details,PMID,PubMed Link
0,"Carcinoma, Non-Small-Cell Lung",2022,"Proto-Oncogene Proteins B-raf, Oximes, Protein Kinase Inhibitors, Pyridones, BRAF protein, human","Activating BRAF mutations are detected in 1.5% to 4.5% of patients with non-small cell lung cancer (NSCLC). These mutations involve the mitogen-activated protein kinase/extracellular signal-regulated kinase pathway, and affect proliferation, differentiation, transcriptional regulation, and survival of cancer cells. Today, the combination of the BRAF inhibitor dabrafenib and the MEK inhibitor trametinib is the preferred first-line treatment option in patients with advanced BRAF V600-mutated NSCLC, with an objective response rate of 64%, a median progression-free survival of 10.2 months, a median overall survival of 24.6 months, and a median duration of response of 10.4 months, according to a pivotal phase 2 study. These outcomes remain inferior to those achieved with other targeted therapies in advanced NSCLC with other driver alterations. First-generation BRAF inhibitors are not active in the class II and III BRAF mutations that form the other half of BRAF mutations in NSCLC. New RAF inhibitors are being investigated in early trials. Novel treatment combinations, particularly with immune checkpoint inhibitors, are also underway. Patient referral to expert centers and enrollment in basket trials as well as serial tissue and liquid biopsies are needed to improve the understanding and the treatment outcomes of this relatively rare disease subset.",36331404,https://pubmed.ncbi.nlm.nih.gov/36331404/
0,"Carcinoma, Non-Small-Cell Lung",2022,"ErbB Receptors, osimertinib, amivantamab-vmjw, Protein Kinase Inhibitors, Angiogenesis Inhibitors, Antineoplastic Agents, Immunoconjugates, EGFR protein, human","Osimertinib is the current standard-of-care for the first-line treatment of Epidermal Growth Factor Receptor (EGFR)-mutant non-small cell lung cancer (NSCLC). Progression after osimertinib ineluctably occurs, and standard of care treatment options beyond progression have mainly included next-line platinum doublet chemotherapy. With better understanding of the varied molecular mechanisms of resistance to osimertinib, several opportunities for the use of targeted agents are emerging that include MET amplification, observed in 15% of patients, and resistant EGFR mutations, including C797S in 7% of patients. Evidence for the use of targeted therapies in such situations is mostly based on case reports, but clinical trials are being conducted with MET inhibitors, such as amivantamab, an EGFR-MET bispecific antibody, or next-generation EGFR inhibitors, such as patritumab-deruxtecan, a HER3 antibody drug conjugate. In this review, we outline our proposed approach to current clinical practice for patients with EGFR mutant, osimertinib-resistant NSCLC which includes the following potential strategies: - Continuation of osimertinib beyond progression following local ablative treatment of oligoprogressive disease, - Tissue rebiopsy of progressive site and possibly concurrent liquid biopsy to evaluate for mechanism of resistance utilizing comprehensive genomic profiling, -Discussion at a molecular tumor board for assessment for enrollment in clinical trials/expanded access program if available with innovative drugs or possible off-label use of available targeted agents, based on the results of molecular profiling, -If no mechanism of resistance identified, administration of platinum-based chemotherapy with antiangiogenic agents. The role of immunotherapy will also be addressed given the uncertain benefit.",36242712,https://pubmed.ncbi.nlm.nih.gov/36242712/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Biomarkers, Tumor, Protein Kinase Inhibitors, Proto-Oncogene Proteins c-met","Dysregulated MET signaling plays an important role in lung oncogenesis, tumor growth and invasiveness. It may occur through various mechanisms, such as MET overexpression or gene amplification or mutation, all of which can be detected by specific methods. The utility of MET overexpression as a biomarker remains unclear due to discrepancies in its occurrence and non-standardized cut-off thresholds. MET exon 14 skipping mutation (METex14) was established as a strong predictor of response to selective MET tyrosine kinase inhibitors (TKIs), and clinical trial results in patients with non-small cell lung cancer (NSCLC) harboring METex14 led to the approval of capmatinib and tepotinib by regulatory agencies worldwide. MET amplification is an emerging biomarker, with clinical data indicating an association between MET gene copy number and response to MET-TKIs. Additionally, MET amplification represents an important mechanism of resistance to TKIs in oncogene-driven NSCLC. The identification of molecular alterations for which targeted therapies are available is important, and high-throughput next-generation sequencing techniques can provide information on multiple genes at the same time, helping to provide valuable predictive information for oncogene-driven cancers. This review summarizes the current methods used for the detection of METex14, MET amplification and MET overexpression, and discusses the evidence for the use of MET-TKIs in patients with NSCLC with MET dysregulation. We discuss the practical challenges that impact the use of METex14 in the clinic and the evidence gaps that need to be addressed to validate additional genomic markers for MET-dependent cancers.",36108503,https://pubmed.ncbi.nlm.nih.gov/36108503/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors","The third-generation epidermal growth factor receptor tyrosine kinase inhibitors (EGFR-TKIs) have accomplished impressive clinical achievements in the treatment of non-small-cell lung cancer (NSCLC). Nonetheless, the acquired drug resistance largely limits their clinical use. The tertiary C797S mutation in the kinase domain of EGFR is one of the major mechanisms responsible for the drug resistance. Therefore, much attention has been focused on the development of the fourth-generation EGFR-TKIs to target triple mutant epidermal growth factor receptor (EGFR) with C797S mutation. In this review, we outline the panorama of the fourth-generation EGFR-TKIs reported up to now with the attention paid on the design strategy, binding mode and antitumor activity of these EGFR-TKIs. We also discuss the challenges and prospects of the fourth-generation EGFR-TKIs.",35964503,https://pubmed.ncbi.nlm.nih.gov/35964503/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, Fluorodeoxyglucose F18, Immune Checkpoint Inhibitors","Over the last decade, several strategies have revolutionized the clinical management of patients with lung cancer, including immunotherapy. Indeed, immune checkpoint inhibitors (ICI) monotherapy or in combination represent the standard-of-care for patients with advanced disease with no actionable mutation. Due to the unique action of ICI to potentiate the immune system, conventional response assessment criteria in medical imaging, such as RECIST 1.1, have limitations. Unlike chemotherapy, patients treated with ICI can present atypical response patterns including pseudoprogression, hyper-progression, and dissociated response. Therefore, the creation and implementation of novel standardized response criteria that consider these distinct response patterns is of critical importance. In parallel, FDG PET/CT is now part of the routine staging for patients with nonsmall cell lung cancer. Moreover, there is an increasing interest in using FDG PET/CT metrics for predicting response to ICI therapy. While standardized uptake values are limited in predicting outcomes, new metrics including tumor metabolic volume, total lesion glycolysis, metabolic activity of the gut microbiome, and radiomics show promise as potential nuclear-medicine ICI biomarkers. Moreover, PET tracers that specifically target immune checkpoints such as PD-L1 also showed promising results in predicting ICI response. Finally, despite achieving higher response rates, ICI therapy leads to the development of immune-related adverse events such as pneumonitis or colitis. Therefore, it is of upmost importance for the imaging specialist to recognize the metabolic patterns associated with these new toxicity profiles. In this paper, we will review how the FDG PET/CT can potentially become a useful marker for the evaluation of ICI response.",35636978,https://pubmed.ncbi.nlm.nih.gov/35636978/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Apoptosis Regulatory Proteins, B7-H1 Antigen, Immune Checkpoint Inhibitors, Immunoglobulin G, Programmed Cell Death 1 Receptor",Lichen planus pemphigoides is a distinct cutaneous toxicity to checkpoint inhibitor therapy illustrates a possible pathogenic mechanism and the importance of dermatopathology recognition to render an accurate diagnosis.,36054729,https://pubmed.ncbi.nlm.nih.gov/36054729/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, Biomarkers, Tumor","ECOG-ACRIN EA5181 is a current prospective, randomized trial that is investigating whether the addition of concomitant durvalumab to standard chemo/radiation followed by 1 year of consolidative durvalumab results in an overall survival benefit over standard chemo/radiation alone followed by 1 year of consolidative durvalumab in patients with locally advanced, unresectable non-small cell lung cancer (NSCLC). Because multiple phase I/II trials have shown the relative safety of adding immunotherapy to chemo/radiation and due to the known synergism between chemotherapy and immunotherapy, it is hoped that concomitant durvalumab can reduce the relatively high incidence of local failure (38%-46%) as seen in recent prospective, randomized trials of standard chemo/radiation in this patient population. We will review the history of radiation for LA-NSCLC and discuss the role of induction, concurrent and consolidative chemotherapy as well as the concerns for late cardiac and pulmonary toxicities associated with treatment. Furthermore, we will review the potential role of next generation sequencing, PD-L1, ctDNA and tumor mutation burden and their possible impact on this trial.",35882620,https://pubmed.ncbi.nlm.nih.gov/35882620/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors","<b>Aim:</b> To assess the efficacy and safety of <i>EGFR</i> inhibitors combined with (chemo)radiotherapy in unresectable, locally advanced non-small-cell lung cancer. <b>Materials & methods:</b> A systematic review and meta-analysis of prospective trials was performed. <b>Results:</b> Twenty-eight studies of 1640 patients were included. In patients harboring EGFR-sensitive mutations, the pooled objective response rate, 1-year overall survival rate and 1-year progression-free survival rate of EGFR-TKIs + (chemo)radiotherapy were 0.803, 0.766 and 0.554, respectively. Compared with chemoradiotherapy, the addition of <i>EGFR</i> inhibitors did not significantly increase the risk of grade ≥3 pneumonitis and esophagitis. <b>Conclusion:</b> EGFR-tyrosine kinase inhibitors combined with (chemo)radiotherapy are tolerable and the clinical benefit is promising, especially in patients with EGFR-sensitive mutations.",35947522,https://pubmed.ncbi.nlm.nih.gov/35947522/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Proto-Oncogene Proteins B-raf, Antineoplastic Agents, Protein Kinase Inhibitors, BRAF protein, human","With the identification of activating mutations in BRAF across a wide variety of malignancies, substantial effort was placed in designing safe and effective therapeutic strategies to target BRAF. These efforts have led to the development and regulatory approval of three BRAF inhibitors as well as five combinations of a BRAF inhibitor plus an additional agent(s) to manage cancer such as melanoma, non-small cell lung cancer, anaplastic thyroid cancer, and colorectal cancer. To date, each regimen is effective only in patients with tumors harboring BRAFV600 mutations and the duration of benefit is often short-lived. Further limitations preventing optimal management of BRAF-mutant malignancies are that treatments of non-V600 BRAF mutations have been less profound and combination therapy is likely necessary to overcome resistance mechanisms, but multi-drug regimens are often too toxic. With the emergence of a deeper understanding of how BRAF mutations signal through the RAS/MAPK pathway, newer RAF inhibitors are being developed that may be more effective and potentially safer and more rational combination therapies are being tested in the clinic. In this review, we identify the mechanics of RAF signaling through the RAS/MAPK pathway, present existing data on single-agent and combination RAF targeting efforts, describe emerging combinations, summarize the toxicity of the various agents in clinical testing, and speculate as to where the field may be headed.",35486097,https://pubmed.ncbi.nlm.nih.gov/35486097/
0,"Carcinoma, Non-Small-Cell Lung",2022,"HM781-36B, Protein Kinase Inhibitors","Poziotinib demonstrates moderate antitumor activity in previously treated HER2 exon 20 mutant NSCLC patients with a manageable safety profile. In addition, different subgroup mutations show various benefits of poziotinib treatment. Large-scale and multiarm clinical trials are warranted to confirm a suitable population and therapeutic strategies.",36343036,https://pubmed.ncbi.nlm.nih.gov/36343036/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Acrylamides, Antineoplastic Agents, Indoles, Protein Kinase Inhibitors, Pyrimidines, ErbB Receptors, aumolertinib","OSI and GEF+PB were the most two effective first-line regimens for overall patients, ranking first in PFS and OS, respectively. GEF+PB ranked first in terms of PFS in subgroups of EGFR 21L858R, ECOG PS= 1, Asian, age <65, and smoking. Meanwhile, AUM in subgroups of EGFR 19DEL, ECOG PS= 0, female, brain metastasis, OSI in the subgroup of without brain metastasis, ICO+PB in no smoking subgroup, and AFA+CET in male subgroup were the best options as for their evident superiority in PFS.",35870763,https://pubmed.ncbi.nlm.nih.gov/35870763/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Hydroxymethylglutaryl-CoA Reductase Inhibitors, Immune Checkpoint Inhibitors","Statins are suggested to improve cancer survival by possible anti-inflammatory effect. However, it remains unclear if concomitant use of statins could improve the efficacy of immune checkpoint inhibitors (ICIs) in patients with non-small-cell lung cancer (NSCLC). Accordingly, a meta-analysis was performed to systematically evaluate the effect of concomitant statins in NSCLC patients receiving ICIs. Relevant studies were obtained by literature search in PubMed, Embase, and Web of Science databases. A conservative random-effect model was used to combine the results. Eight cohorts including 2382 patients were included. The programmed death-1/ligand-1 inhibitors were used in seven studies; while the cytotoxic T-lymphocyte-associated protein 4 inhibitors were used in the other study. It was shown that concomitant use of statin did not significantly affect the progression-free survival (PFS, hazard ratio (HR): 0.86, 95% confidence interval (CI): 0.70 to 1.07, <i>P</i>=0.17; <i>I</i> <sup>2</sup> = 62%) or overall survival (OS, HR: 0.86, 95% CI: 0.74 to 1.01, <i>P</i>=0.07; <i>I</i> <sup>2</sup> = 29%) of NSCLC patients receiving ICIs. Subgroup analyses showed consistent results in studies with univariate or multivariate analytic models (<i>P</i> for subgroup analysis = 0.97 and 0.38 for the outcome of PFS and OS, respectively). In conclusion, concomitant use of statin seemed to have no significant influence on the survival of patients with NSCLC who were treated with ICIs.",35855055,https://pubmed.ncbi.nlm.nih.gov/35855055/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Lactams, Macrocyclic, Protein Kinase Inhibitors, Crizotinib, Anaplastic Lymphoma Kinase, Protein-Tyrosine Kinases","Anaplastic lymphoma kinase (ALK) inhibitors are commonly used for patients harboring ALK-positive non-small cell lung cancer (NSCLC). This meta-analysis was conducted to evaluate the toxicity profile of ALK inhibitors. Pubmed, Web of Science, Embase, and the Cochrane Central Register of Controlled Trials databases were systematically searched for clinical trials conducted in advanced NSCLC treated with ALK inhibitors. The incidences of pooled adverse events (AEs) were conducted using the random effects model. We included 30 studies in the meta-analysis. Almost all patients receiving ALK inhibitor monotherapy occurred at least one AE. The pooled incidences of grade ≥ 3 AEs were 71.3% for ceritinib 750 mg, 44.6% for crizotinib, 37.4% for alectinib, and 35.3% for ensartinib. Only one study each reported the incidence of grade ≥ 3 AEs for brgatinib (72.8%), lorlatinib (72.4%), and ceritinib 450 mg (64.8%), respectively. The rates of dose reduction due to AEs ranking from high to low were ceritinib 750 mg, brigatinib, ceritinib 450 mg, lorlatinib, crizotinib, ensartinib, and alectinib. The rates of treatment discontinuation due to AEs were low, ranging from 3.8% to 10.5%. Gastrointestinal AEs were most common for ceritinib 750 mg. Hepatic transaminases elevation was mostly observed in ceritinib and brigatinib. Rash frequently occurred for ensartinib. Lorlatinib had a high incidence of hypertriglyceridemia and hypercholesterolemia, which were rarely reported in other ALK inhibitors. The incidences of grade ≥ 3 AEs for individual ALK inhibitor were moderately high yet manageable. Different toxicity spectrums were found in each ALK inhibitor.",35435628,https://pubmed.ncbi.nlm.nih.gov/35435628/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Biomarkers, Immune Checkpoint Inhibitors","Despite the heterogeneity and biases identified, the evidence does suggest that the development of thyroid irAE is associated with anti-tumor effects of ICIs and therefore, can be used as a surrogate marker for clinical response.",35022907,https://pubmed.ncbi.nlm.nih.gov/35022907/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, Biomarkers, Tumor, CD274 protein, human, Immune Checkpoint Inhibitors, Programmed Cell Death 1 Receptor",Our study found that NSCLC with high TMB who benefit from immunotherapy. The findings suggest that TMB could associated with a greater predictive power of response. Possibly a more TMB-oriented prediction model might gain more benefits from PD-1/PD-L1 inhibitors.,35866790,https://pubmed.ncbi.nlm.nih.gov/35866790/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, Immune Checkpoint Inhibitors, Programmed Cell Death 1 Receptor","<b>Background:</b> The advent of PD-1/L1 inhibitors has changed the landscape for patients with non-small-cell lung cancer (NSCLC). Meanwhile, the adverse events of PD-1/L1 inhibitors have been focused. <b>Methods:</b> The Cochrane Central Register of Controlled Trials, PubMed and Embase databases and ClinicalTrials.gov were searched from inception to February 2021. <b>Results:</b> 18 studies involving 11,394 patients with NSCLC were included. PD-1/L1 inhibitor monotherapy was associated (relative risk, 95% confidence interval) with an increased risk of pericardial effusion (2.72 [1.45-5.12]; p = 0.002) and cardiac tamponade (2.76 [1.15-6.62]; p = 0.023), whereas PD-1/L1 inhibitors combined with chemotherapy did not increase the risk of pericardial effusion and cardiac tamponade (3.08 [0.93-10.21]; p = 0.066 and 3.27 [0.37-28.94]; p = 0.288, respectively). <b>Conclusion:</b> For patients with NSCLC, treatment with PD-1/L1 inhibitor monotherapy increases the risk of pericardial effusion and cardiac tamponade, but PD-1/L1 inhibitors combined with chemotherapy do not.",35373580,https://pubmed.ncbi.nlm.nih.gov/35373580/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Protein Kinase Inhibitors, Erlotinib Hydrochloride, EGFR protein, human, ErbB Receptors","<b>Aim:</b> To evaluate the comparative efficacy and safety of identified first-line therapies for patients with <i>EGFR</i> mutation-positive (<i>EGFR</i>m+) advanced non-small-cell lung cancer (NSCLC), with a focus on ramucirumab + erlotinib. <b>Methods:</b> In the absence of head-to-head studies, a Bayesian network meta-analysis was conducted using randomized clinical trial data to evaluate first-line systemic therapies with erlotinib/gefitinib as the reference treatment. <b>Results:</b> For progression-free survival, ramucirumab + erlotinib was comparable to osimertinib and dacomitinib in the primary analysis. <b>Conclusion:</b> The analysis showed ramucirumab + erlotinib efficacy to be comparable to best-in-class treatment options for previously untreated patients with <i>EGFR</i>m<sup>+</sup> advanced NSCLC. <b>Registration information:</b> PROSPERO ID: CRD42020136247.",35187947,https://pubmed.ncbi.nlm.nih.gov/35187947/
0,"Carcinoma, Non-Small-Cell Lung",2022,B7-H1 Antigen,"<b>Background:</b> In metastatic non-small-cell lung cancer (mNSCLC), PD-L1 expression is associated with benefit from immune checkpoint inhibitor (ICI) therapy. However, the significance of PD-L1 expression in chemotherapy-treated patients is uncertain. <b>Methods:</b> Using the chemotherapy control arm of first-line randomized trials, a meta-analysis of the association between efficacy outcomes and PD-L1 status was performed, stratified by assay due to inter-assay differences. <b>Results:</b> Across 12 trials and 4378 patients, overall survival (OS) was superior in high PD-L1 versus negative tumors and low versus negative according to 22C3/28-8 assays. When classified by SP142 assay, no significant difference in response or survival was seen between PD-L1 groups. <b>Conclusion:</b> In mNSCLC, high PD-L1-expressing tumors are associated with longer OS and improved objective rate when treated with chemotherapy. Inter-assay variability impacts outcome results.",35156837,https://pubmed.ncbi.nlm.nih.gov/35156837/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Antineoplastic Agents, Iodine Radioisotopes, Iodine-125",This meta-analysis demonstrated that ISB could enhance the clinical efficacy of SLCT in patients with progressive NSCLC after FLT without inducing major toxic side effects.,35413934,https://pubmed.ncbi.nlm.nih.gov/35413934/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Antineoplastic Agents, Drug Combinations, Pemetrexed, Bevacizumab","For stage IIIB/IV nonsquamous NSCLC patients, maintenance therapy with Bev+Pem offers an increased survival outcome (PFS, OS) compared with monotherapy. However, the increased incidence of AEs should not be neglected.",34617297,https://pubmed.ncbi.nlm.nih.gov/34617297/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Protein Kinase Inhibitors, ErbB Receptors",Concomitant use of AS in patients with NSCLC taking TKIs may be associated with poor survival outcomes.,35685507,https://pubmed.ncbi.nlm.nih.gov/35685507/
0,"Carcinoma, Non-Small-Cell Lung",2022,"Protein Kinase Inhibitors, Anaplastic Lymphoma Kinase","Next-generation ALK inhibitors including alectinib, brigatinib, and lorlatinib are the preferred first systemic treatment for individuals with advanced ALK-rearranged NSCLC. Further trials are ongoing including investigation of first-line ensartinib. Next-generation inhibitors have not been compared to each other, and it is unknown which should be used first and what subsequent treatment sequence is optimal.",34994987,https://pubmed.ncbi.nlm.nih.gov/34994987/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, pembrolizumab","We conducted a meta-analysis to systematically review the efficacy and safety of pembrolizumab for advanced NSCLC. Databases were searched for randomized controlled trials (RCTs) treated with pembrolizumab till July 2021. Seven RCTs and 3988 patients were included. Our analysis suggests that pembrolizumab was more effective at improving PFS (HR, 0.59; 95% CI: 0.43-0.79; <i>p</i> = 0.0005), OS (HR, 0.65; 95% CI: 0.55-0.76; <i>p</i> ＜ 0.00001) and ORR (RR, 1.85; 95% CI: 1.64-2.09; <i>p</i> ＜ 0.00001) than chemotherapy. Patients with higher PD-L1 expression level were tend to have a better PFS, OS and ORR. Combination therapy of pembrolizumab was superior to pembrolizumab monotherapy in enhancing PFS. Pembrolizumab did not increase the frequency of commonly reported adverse events, but the immune-related adverse events (irAEs) occurred more frequently in the pembrolizumab group than those in the chemotherapy group. The pembrolizumab significantly improved the PFS, OS and ORR, simultaneously increasing the irAEs.",34895095,https://pubmed.ncbi.nlm.nih.gov/34895095/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, Immune Checkpoint Inhibitors, KRAS protein, human, EGFR protein, human, ErbB Receptors, Proto-Oncogene Proteins p21(ras)",This research revealed that individuals with EGFR wild-type NSCLC or KRAS mutation may benefit from PD-L1/PD-1 inhibitors and that PD-L1/PD-1 inhibitors in combination with chemotherapy seem to be more successful than chemotherapy alone in NSCLC patients with EGFR mutation.,36061356,https://pubmed.ncbi.nlm.nih.gov/36061356/
0,"Carcinoma, Non-Small-Cell Lung",2022,"B7-H1 Antigen, Immune Checkpoint Inhibitors, Antineoplastic Agents, Immunological, Sorafenib, Biomarkers, Tumor","Immune checkpoint inhibitors' combination therapy improved clinical outcomes in the management of advanced hepatocellular carcinoma. However, the overall objective response rate still did not exceed 30%. PD-1/PD-L1 inhibitors plus anti-angiogenic agents and dual immunotherapy provided significantly increased survival over sorafenib, which also pose new challenges for future research, and more appropriate and guided control regimens are required. Also, TMB may be a promising prognostic biomarker for immunotherapy in HCC. However, the validation of prospective and large sample studies is needed.",36126410,https://pubmed.ncbi.nlm.nih.gov/36126410/
